barcode,name,brand,ingredients,allergens,energy_100g,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,serving_size,category,is_sustainable
53993236,Extreme Pre Workout: Blue Blaze,Little Dragon,"(Allergens In Bold): Water, Beta Alanine, Arginine Alpha Ketoglutarate (2:1), Citrulline Malate (2:1), Acidity Regulators (Citric Acid, Malic Acid), DL-Choline Dihydrogen Citrate, Flavour, Caffeine Anhydrous, Preservatives (Potassium Sorbate, Sodium Benzoate), Sweeteners (Acesulfame K Sucralose, Steviol Glycosides), Vitamin B6 (Pyridoxine HCL), Colour (Brilliant Blue), Vitamin B1 (Cyanocobalamin) DIRECTIONS, C gumo 15-2r","caffeine, citric-acid, stevia, sucralose",173.0,41.7,0.0,0.0,0.0,0.0,0.0,60ml,Health & Supplements,0
53993472,Extreme Pre Workout: Fizzy cola,Little Dragon,"(Allergens In Bold): Water, Arginine Alpha Ketoglutarate (2:1), Beta Alanine, Citrulline Malate (2:1), Acidity Regulators (Citric Acid, Malic Acid), DL-Choline Dihydrogen Citrate, Flavour, Caffeine Anhydrous, Preservatives (Potassium Sorbate, Sodium Benzoate), Sweeteners (Acesulfame K Sucralose, Steviol Glycosides), Vitamin B6 (Pyridoxine HCI), Vitamin B12 (Cyanocobalamin)","caffeine, citric-acid, stevia, sucralose",185.0,43.3,0.0,0.0,0.0,0.0,0.0,60ml,Beverages,0
53994035,Raspberries,Tesco,Raspberries,raspberry,0.22,54.0,0.3,,,,1.4,125g,Other,0
5410531546635,Cinnamon,Funky Soul Spices,Cinnamon (Unspecified) Ground Cinnamon,cinnamon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32g,Other,0
5410673001665,Basmati Rice,Uncle Ben's,basmati rice.,rice,565.0,135.0,0.4,0.1,29.2,0.0,3.5,180g,Food,0
5410673003713,Long grain rice,Ben's,Rice) parboiled long grain rice. (11%) 16 A,rice,657.0,157.0,0.5,0.1,34.0,0.5,3.3,62.5g,Food,0
5410673059000,Naturreis,Uncle Ben's,Parboiled wholegrain rice.,rice,703.0,168.0,1.1,0.2,34.7,0.2,3.9,5g,Food,0
5411188097297,Light soya milk,"alpro, morrisons","soya base (water, hulled soya beans (5,6%)], soluble corn fibre, fructose, sugar, calcium (cal - cium carbonate), acidity regu - lator (potassium phosphates), sea salt, flavouring, stabiliser (gellan gum), natural flavour - ing, vitamins (b2, b12, d2), free from dairy and gluten,","cereals-containing-gluten, corn-maize, milk, soybeans",117.0,28.0,1.2,0.2,1.7,1.5,2.1,100g,Food,1
5411188124702,"Alpro Haferdrink, Ungesüßt 1 L, FRESH","Alpro, Danone","oat base (97,1%) (water, oat (8,3%]), chicory root fibre, sunflower oil, calcium (calcium carbonate), sea salt, stabiliser (gellan gum), vitamins b2, b12, d2, for allergens, including cereals containing gluten, see ingredients in bold, free from dairy, naturally lactose free,","cereals-containing-gluten, milk, oats, sunflower-lecithin",169.0,40.0,1.5,0.2,5.8,0.0,0.2,1portion,Health & Supplements,0
5411188141280,Chilled No Sugar Oat Milk,Alpro,"Water, Oat (9.9%), Sunflower oil, Soluble corn fibre, Calcium (Calcium carbonate), Sea salt, Stabiliser (Gellan gum), Potassium iodide, Vitamins B2, B12, D2. For allergens, including cereals containing gluten, see ingredients in bold. May contain other cereals containing gluten. Free from dairy. Naturally lactose free.","cereals-containing-gluten, corn-maize, milk, oats, sunflower-lecithin",184.0,44.0,1.8,0.2,5.5,0.0,0.7,100ml,Food,0
